,side,market,wallet,shares,yes_no_index,pseudonym
163,NO,tyler-robinson-convicted-of-homicide,0x3458ae6606828ed4d9666573e1585d9419efb5a7,17.543858,1,Green-Birdwatcher
164,NO,tyler-robinson-convicted-of-homicide,0xedc4e9604396800bac6f5f28958f117b6dd8be57,17.0,1,Spotted-Unemployment
165,NO,tyler-robinson-convicted-of-homicide,0xc94da03f36ef1cc283e38736ba7c4b9c7974af5d,16.949151,1,Frail-Match-Whisker
166,NO,tyler-robinson-convicted-of-homicide,0xb8fc28bbf7b8c9c5f9e0bbbd7272adaba4e6ed7f,15.873014,1,Past-Reverse
167,NO,tyler-robinson-convicted-of-homicide,0xd0f884f3fecca09f4a0945620b4befa64f3d73a1,15.625,1,Weepy-Power
168,NO,tyler-robinson-convicted-of-homicide,0x7f787235a6a116cb0fa3e4857860636edabc657f,15.537312,1,
169,NO,tyler-robinson-convicted-of-homicide,0x270284ed51809821905cefd2766303e6b1147cb4,15.0,1,Jumbo-Designer
170,NO,tyler-robinson-convicted-of-homicide,0x69b5c5b49bfab9bbc5d6d99eb66c5d4cf3503b73,14.925372,1,
171,NO,tyler-robinson-convicted-of-homicide,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,13.927109,1,
172,NO,tyler-robinson-convicted-of-homicide,0xedd835510e08c1de5c794ebc192c3222eef7b939,13.432824,1,Buoyant-Gland
173,NO,tyler-robinson-convicted-of-homicide,0x1ca59b4088339065440836b425c586f02c9480f5,10.00182,1,Memorable-Data
174,NO,tyler-robinson-convicted-of-homicide,0x58744f91ed701afdc02d55b0467b09ce62c505f7,10.0,1,Concerned-Wing
175,NO,tyler-robinson-convicted-of-homicide,0x8c65191e411feec6c73aefbd74a55d246099dcf7,10.0,1,Official-Security
176,NO,tyler-robinson-convicted-of-homicide,0x9287bd3d7f9cc43198c98974cbbdfa1c48fe41f2,10.0,1,Better-Rheumatism
177,NO,tyler-robinson-convicted-of-homicide,0xe65f020522dc43ae9c85c8e03a4f403414899352,10.0,1,Thin-Decoration
178,NO,tyler-robinson-convicted-of-homicide,0x4d1e7f7ab98bee32b09b1cdf5c5159e73922e714,9.835819,1,
179,NO,tyler-robinson-convicted-of-homicide,0x290d0d19d90afbff047dd3585c4a716dc5f9dc40,9.433961,1,Sunny-Caramel
180,NO,tyler-robinson-convicted-of-homicide,0xfb8edbc409120f8dbab8df8e723037e0fe773dc3,9.259258,1,Outstanding-Mandarin
181,NO,tyler-robinson-convicted-of-homicide,0xd5bab2c5c4db2194a248722b592888511b64258c,9.194028,1,
182,NO,tyler-robinson-convicted-of-homicide,0xb3d4c3aec894c555aad1d442421260bae491e68a,8.88383,1,Selfish-Tangerine
183,NO,tyler-robinson-convicted-of-homicide,0x3aee183874934d8b07e209e22bb88aff11cba04a,8.86567,1,
184,NO,tyler-robinson-convicted-of-homicide,0xe71d94b0c62faafdc88e744c96ad82c1646b7359,8.771927,1,Calculating-Plugin
185,NO,tyler-robinson-convicted-of-homicide,0x9168b6a66d92865ff147512662b74b330c60b224,8.358207,1,
186,NO,tyler-robinson-convicted-of-homicide,0x1ab08b70e43b2e9f1ec9815f2451e2ad084a0a52,8.328357,1,
187,NO,tyler-robinson-convicted-of-homicide,0xd43a88f36e8921a97fd397432d08f56604b21c11,8.307214,1,Spanish-Consulting
