,side,market,wallet,shares,yes_no_index,pseudonym
59,YES,tyler-robinson-convicted-of-homicide,0x7292d894b4a16887f06c03a7d2adbb0e76eaa636,43.0,0,Well-Groomed-Brownie
61,YES,tyler-robinson-convicted-of-homicide,0xd9c79cb0ef7611840c5c5f13c7a48140100a6dc4,43.0,0,Grubby-Commercial
60,YES,tyler-robinson-convicted-of-homicide,0xc8ebf18b307904f57b9600a6a29660ac3e5c19ca,43.0,0,Dutiful-Boulevard
63,YES,tyler-robinson-convicted-of-homicide,0x239c2dfaf26316ce8201406b05385414123f7d7f,41.0,0,Starchy-Prosecution-Executive
62,YES,tyler-robinson-convicted-of-homicide,0x0fddbb77710325fce9c1e85a6c318ce350dcf45a,41.0,0,Sad-Finish
64,YES,tyler-robinson-convicted-of-homicide,0x3d79c3c3a12b66014c65ac0e0192d07c3f0931dc,41.0,0,Lustrous-Receiver
151,NO,tyler-robinson-convicted-of-homicide,0xf3ac964596f56a91696d84b0cf01368a020af23d,37.0,1,Mean-Outfielder
150,NO,tyler-robinson-convicted-of-homicide,0xdcd32dd8f2cb37cd6fcbe4af031fcf9bb4bc8dc9,37.0,1,Lively-Mustard-Bother
65,YES,tyler-robinson-convicted-of-homicide,0xb767e41ca2d36b9f345febf9baca90f74dc69b28,34.0,0,Clever-Magnitude
152,NO,tyler-robinson-convicted-of-homicide,0x5754514401e271c5ca28e13378dbc69641a2cefb,33.0,1,Spectacular-Ligula
66,YES,tyler-robinson-convicted-of-homicide,0x1862565b058af27ec5caa2ce81a6401d7ef9e036,32.0,0,Negative-Howard
153,NO,tyler-robinson-convicted-of-homicide,0xe1aba4717fde876b45d6721596d92bbc3ef8faad,32.0,1,
67,YES,tyler-robinson-convicted-of-homicide,0x5c1b2689be4b6d3a7917a9c76c778fe191364b4f,30.0,0,Costly-Buyer
154,NO,tyler-robinson-convicted-of-homicide,0xe2eedd8c3b0668dc19757c314ea41dfaa5c760b8,30.0,1,Drab-Embryo
68,YES,tyler-robinson-convicted-of-homicide,0x6f92155890baa2785ed4ba84f2e0d9d3f6e37379,30.0,0,Full-Toilet
