,side,market,wallet,shares,yes_no_index,pseudonym
285,YES,diddy-found-guilty-of-sex-trafficking,0x55f4c3e487e3c72e548ea35b23b7adbc2486959c,5.0,0,Sentimental-Conservation
293,YES,diddy-found-guilty-of-sex-trafficking,0x55af4c0f03157161d6ca5376b31e57efe73e03fd,4.0,0,Belated-Autoimmunity
292,YES,diddy-found-guilty-of-sex-trafficking,0x0a6c6ab5dec4d1f488158b455beb8074f1050867,4.0,0,Crooked-Crinoline
291,YES,diddy-found-guilty-of-sex-trafficking,0x9f2f96c3d128465963545358f0a3e91349bfa8f9,4.0,0,Delectable-Flan
290,YES,diddy-found-guilty-of-sex-trafficking,0xe0055a9523c054ec09c1b37bdc1effc004c3fe6f,4.0,0,Timely-Spot
289,YES,diddy-found-guilty-of-sex-trafficking,0x901cd00d0bf198ff433be3a88d553d8865e28929,4.0,0,Firsthand-Stage
288,YES,diddy-found-guilty-of-sex-trafficking,0x4a961d8d777765605661eb883e40ef10516c5fa8,4.0,0,Faraway-Chop
294,YES,diddy-found-guilty-of-sex-trafficking,0x1e59b785d451175936013e8055ea2334a9f9c6b0,4.0,0,Kindhearted-Tendency
295,YES,diddy-found-guilty-of-sex-trafficking,0x76ef81a98456f2c835dc349e0a4559cc4f2ded23,3.0,0,Buoyant-Pita
298,YES,diddy-found-guilty-of-sex-trafficking,0x6bca77c78d85705f669afbfdb53b449c937b39dd,3.0,0,Babyish-Vaccine
299,YES,diddy-found-guilty-of-sex-trafficking,0xdb1ab68102cb2f3259a1679835f4037a46f60dfa,3.0,0,Novel-Affair
296,YES,diddy-found-guilty-of-sex-trafficking,0x5babf8f85b4b4184f8ea37244d53f3e3f137c136,3.0,0,Showy-Crayon
297,YES,diddy-found-guilty-of-sex-trafficking,0xaa8dd001fe94cc4849e4cfccbacad2729b2ee633,3.0,0,Bleak-Tablet
306,NO,diddy-found-guilty-of-sex-trafficking,0x3774515d6f0e682434cf176886c1f4c0fc8478c4,3.0,1,Aged-Suspect
307,NO,diddy-found-guilty-of-sex-trafficking,0x7bc927893bd89b981adfa4200b703a36958da102,3.0,1,Full-Minimalism
308,NO,diddy-found-guilty-of-sex-trafficking,0xf7421c80e6212ae5127e74b932cc310b7e31be2d,3.0,1,These-River
309,NO,diddy-found-guilty-of-sex-trafficking,0xd11762cc4d8954fe085103cd4a6a37219a256835,1.0,1,Crisp-Myth
